year,region,var1,freq,perc,use
2011,Addis Ababa,1,0.274,27.4,Any current method
2011,Afar,1,0.081,8.1,Any current method
2011,Amhara,1,0.232,23.2,Any current method
2011,Benishangul-Gumuz,1,0.206,20.6,Any current method
2011,Dire Dawa,1,0.210,21.0,Any current method
2011,Gambela,1,0.331,33.1,Any current method
2011,Harari,1,0.223,22.3,Any current method
2011,Oromia,1,0.186,18.6,Any current method
2011,SNNPR,1,0.172,17.2,Any current method
2011,Somali,1,0.035,3.5,Any current method
2011,Tigray,1,0.162,16.2,Any current method
2012,Addis Ababa,1,0.271,27.1,Any current method
2012,Afar,1,0.085,8.5,Any current method
2012,Amhara,1,0.254,25.4,Any current method
2012,Benishangul-Gumuz,1,0.209,20.9,Any current method
2012,Dire Dawa,1,0.207,20.7,Any current method
2012,Gambela,1,0.318,31.8,Any current method
2012,Harari,1,0.219,21.9,Any current method
2012,Oromia,1,0.191,19.1,Any current method
2012,SNNPR,1,0.191,19.1,Any current method
2012,Somali,1,0.030,3.0,Any current method
2012,Tigray,1,0.180,18.0,Any current method
2013,Addis Ababa,1,0.268,26.8,Any current method
2013,Afar,1,0.089,8.9,Any current method
2013,Amhara,1,0.276,27.6,Any current method
2013,Benishangul-Gumuz,1,0.212,21.2,Any current method
2013,Dire Dawa,1,0.204,20.4,Any current method
2013,Gambela,1,0.305,30.5,Any current method
2013,Harari,1,0.215,21.5,Any current method
2013,Oromia,1,0.197,19.7,Any current method
2013,SNNPR,1,0.210,21.0,Any current method
2013,Somali,1,0.025,2.5,Any current method
2013,Tigray,1,0.198,19.8,Any current method
2014,Addis Ababa,1,0.266,26.6,Any current method
2014,Afar,1,0.092,9.2,Any current method
2014,Amhara,1,0.297,29.7,Any current method
2014,Benishangul-Gumuz,1,0.214,21.4,Any current method
2014,Dire Dawa,1,0.202,20.2,Any current method
2014,Gambela,1,0.291,29.1,Any current method
2014,Harari,1,0.211,21.1,Any current method
2014,Oromia,1,0.202,20.2,Any current method
2014,SNNPR,1,0.229,22.9,Any current method
2014,Somali,1,0.021,2.1,Any current method
2014,Tigray,1,0.216,21.6,Any current method
