age,parity,dataset,percentage
45-49,9,DHS 2015,0.3818263831799233
45-49,10,DHS 2015,0.3128794410143533
45-49,11,DHS 2015,0.0993672442138374
45-49,12,DHS 2015,0.0554034219899289
45-49,13,DHS 2015,0.011295231901506
15-19,0,DHS 2016,19.76718475084136
15-19,1,DHS 2016,2.2925847747510693
15-19,2,DHS 2016,0.4440045935315577
15-19,3,DHS 2016,0.0395626182560809
20-24,0,DHS 2016,9.445166654029968
20-24,1,DHS 2016,4.578140333266831
20-24,2,DHS 2016,3.06731175865126
20-24,3,DHS 2016,1.4129465298530568
20-24,4,DHS 2016,0.2182139604952763
