"age","edu","parity","cum.percent"
32,17,"4",0
33,17,"4",0.00479978498427605
34,17,"4",0
35,17,"4",0
36,17,"4",0
37,17,"4",0
38,17,"4",0
39,17,"4",0
40,17,"4",0
41,17,"4",0
42,17,"4",0.00791601432320862
43,17,"4",0
44,17,"4",0
45,17,"4",0
46,17,"4",0
47,17,"4",0
48,17,"4",0
49,17,"4",0
15,17,"5",NA
16,17,"5",NA
17,17,"5",NA
18,17,"5",NA
19,17,"5",NA
20,17,"5",0
21,17,"5",NA
22,17,"5",0
23,17,"5",0
24,17,"5",0
25,17,"5",0
26,17,"5",0
27,17,"5",0
28,17,"5",0.00346500991325984
29,17,"5",0
30,17,"5",0
31,17,"5",0
32,17,"5",0.00338513611403489
33,17,"5",0
34,17,"5",0
35,17,"5",0.00574120104193037
36,17,"5",0
37,17,"5",0
38,17,"5",0
39,17,"5",0
40,17,"5",0
41,17,"5",0
42,17,"5",0
43,17,"5",0
44,17,"5",0
45,17,"5",0
46,17,"5",0
47,17,"5",0
48,17,"5",0
49,17,"5",0
15,17,"6",NA
16,17,"6",NA
17,17,"6",NA
18,17,"6",NA
19,17,"6",NA
20,17,"6",NA
21,17,"6",0
22,17,"6",NA
23,17,"6",0
24,17,"6",0
25,17,"6",0
26,17,"6",0
27,17,"6",0
28,17,"6",0
29,17,"6",0
30,17,"6",0
31,17,"6",0
32,17,"6",0
33,17,"6",0
34,17,"6",0
35,17,"6",0
36,17,"6",0
37,17,"6",0.00918534247645997
38,17,"6",0
39,17,"6",0
40,17,"6",0.00609736158749846
41,17,"6",0
42,17,"6",0
43,17,"6",0
44,17,"6",0
45,17,"6",0.0037939165527195
46,17,"6",0
47,17,"6",0
48,17,"6",0
49,17,"6",0
15,16,"0",0.00186151982888408
16,16,"0",0.00847715641027646
17,16,"0",0.000752542315942427
18,16,"0",0.00155555868116161
19,16,"0",0.0143837586930508
20,16,"0",0.00557592411100925
21,16,"0",0
22,16,"0",0
23,16,"0",0
24,16,"0",0.00384378160826833
25,16,"0",0.0175093528335204
26,16,"0",0.105978407195714
27,16,"0",0
28,16,"0",0.0240621270322623
29,16,"0",0.0571866401260542
30,16,"0",0.0259360426415618
31,16,"0",0
32,16,"0",0
33,16,"0",0.110858063809996
34,16,"0",0.177829818592754
35,16,"0",0.028583838699051
36,16,"0",0.204320270675546
37,16,"0",0.100902642186215
38,16,"0",0.123065896853559
39,16,"0",0
40,16,"0",0
41,16,"0",0
42,16,"0",0
43,16,"0",0.0827926676867699
44,16,"0",0
45,16,"0",0
46,16,"0",0
47,16,"0",0
48,16,"0",0
49,16,"0",0
15,16,"1",0
16,16,"1",0
17,16,"1",0
18,16,"1",0
19,16,"1",0
20,16,"1",0
21,16,"1",0.00439179672270622
22,16,"1",0.0154263886127363
23,16,"1",0
24,16,"1",0.0176793101326524
25,16,"1",0
26,16,"1",0.075432131033052
27,16,"1",0.0121291487026341
28,16,"1",0.0362198816804888
29,16,"1",0.094438340852838
30,16,"1",0
31,16,"1",0
32,16,"1",0.0966383320161758
33,16,"1",0
34,16,"1",1
35,16,"1",0
36,16,"1",0
37,16,"1",0
38,16,"1",0
39,16,"1",0
40,16,"1",0
41,16,"1",0
42,16,"1",0
43,16,"1",0
44,16,"1",0
45,16,"1",0.047211542219511
46,16,"1",0
47,16,"1",0
48,16,"1",0
49,16,"1",0
15,16,"2",NA
16,16,"2",0
17,16,"2",0
18,16,"2",0
19,16,"2",0
20,16,"2",0.00153891602159822
21,16,"2",0
22,16,"2",0
23,16,"2",0
24,16,"2",0
25,16,"2",0
26,16,"2",0.0309647056977032
27,16,"2",0.015195686779061
28,16,"2",0
29,16,"2",0.0573953777485757
30,16,"2",0.0174394439341929
31,16,"2",0
32,16,"2",0
33,16,"2",0
34,16,"2",0.0593318528295941
35,16,"2",0
36,16,"2",0
37,16,"2",0
38,16,"2",0.064654723289453
39,16,"2",0
40,16,"2",0.0927196815154078
41,16,"2",0
42,16,"2",0
43,16,"2",0
44,16,"2",0
45,16,"2",0
46,16,"2",0
47,16,"2",0
48,16,"2",0
49,16,"2",0.0193071524987894
15,16,"3",NA
16,16,"3",NA
17,16,"3",0
18,16,"3",0
19,16,"3",0
20,16,"3",0
21,16,"3",0.00400273413944388
22,16,"3",0
23,16,"3",0
24,16,"3",0.00524222702855971
25,16,"3",0
26,16,"3",0
27,16,"3",0
28,16,"3",0
29,16,"3",0
30,16,"3",0.00357087129781037
31,16,"3",0
32,16,"3",0
33,16,"3",0
34,16,"3",0.0384345359064011
35,16,"3",0
36,16,"3",0.0982876892820389
37,16,"3",0
38,16,"3",0
39,16,"3",0.0418840102631037
40,16,"3",0
41,16,"3",0
42,16,"3",0
43,16,"3",0.0272540331159106
44,16,"3",0.177063508171803
45,16,"3",0.0404356839077169
46,16,"3",0
47,16,"3",0
48,16,"3",0.0596710574870366
49,16,"3",0
15,16,"4",NA
16,16,"4",NA
17,16,"4",NA
18,16,"4",NA
19,16,"4",0
20,16,"4",0
21,16,"4",0
22,16,"4",0
23,16,"4",0
24,16,"4",0
25,16,"4",0
26,16,"4",0
27,16,"4",0
28,16,"4",0
29,16,"4",0.023717997218881
30,16,"4",0
31,16,"4",0.0161022776693868
32,16,"4",0
