"region","age","parity","Freq","percentage"
"somali","35-39","2",0.607931,0.132315571228102
"somali","35-39","3",1.834483,0.399273381441713
"somali","35-39","4",5.660562,1.23201563088917
"somali","35-39","5",6.611879,1.43906881994189
"somali","35-39","6",34.522434,7.51377306782257
"somali","40-44","0",0.918065,0.199815924668305
"somali","40-44","1",0.90278,0.196489159778504
"somali","40-44","2",1.090547,0.237356458637728
"somali","40-44","3",3.497825,0.761298096216404
"somali","40-44","4",6.184644,1.3460815515288
"somali","40-44","5",5.887985,1.2815140182973
"somali","40-44","6",29.417934,6.40278377243568
"somali","45-49","0",0.766261,0.16677593661915
"somali","45-49","1",0,0
"somali","45-49","2",0.7311,0.159123180303135
"somali","45-49","3",0.875877,0.190633748863861
"somali","45-49","4",3.61282,0.786326642405652
"somali","45-49","5",1.966443,0.427994342832496
"somali","45-49","6",17.712029,3.85500531268138
"south","15-19","0",609.838094999999,18.547201963957
"south","15-19","1",63.629839,1.93519474192092
"south","15-19","2",7.090986,0.215660436013909
"south","15-19","3",0,0
"south","15-19","4",0,0
"south","15-19","5",0,0
"south","15-19","6",0,0
"south","20-24","0",269.006789,8.18138992326901
"south","20-24","1",149.41921,4.54433445185956
"south","20-24","2",104.64917,3.18272883780813
"south","20-24","3",39.023334,1.1868291976823
"south","20-24","4",7.258902,0.220767319284263
"south","20-24","5",1.438423,0.0437472209580494
"south","20-24","6",0,0
"south","25-29","0",128.471137,3.90723397572956
"south","25-29","1",94.097522,2.86181817625199
"south","25-29","2",131.791805,4.00822651876059
"south","25-29","3",144.269129,4.38770338334992
"south","25-29","4",102.124004,3.10593015274973
"south","25-29","5",45.570414,1.38594764572576
"south","25-29","6",19.349272,0.588475627518052
"south","30-34","0",24.163164,0.734882071931265
"south","30-34","1",31.3103,0.952250215939828
"south","30-34","2",45.79698,1.39283827029418
"south","30-34","3",85.271871,2.59340081613217
"south","30-34","4",113.381788,3.44831675540138
"south","30-34","5",85.517557,2.6008729434051
"south","30-34","6",97.763989,2.97332761539778
"south","35-39","0",10.725115,0.326186369173387
"south","35-39","1",6.987634,0.212517158424176
"south","35-39","2",25.87438,0.786925834064483
"south","35-39","3",32.849925,0.999075325846675
"south","35-39","4",68.866595,2.09446188505989
"south","35-39","5",71.641533,2.17885696622231
"south","35-39","6",189.064825,5.7500892815743
"south","40-44","0",9.324346,0.283584331418021
"south","40-44","1",5.825431,0.177170705093614
"south","40-44","2",7.513922,0.228523324498808
"south","40-44","3",28.991857,0.881738663914003
"south","40-44","4",32.4395,0.986592938425376
"south","40-44","5",61.91864,1.88315149681416
"south","40-44","6",140.215084,4.26440640993607
"south","45-49","0",4.312572,0.131159638146426
"south","45-49","1",3.116238,0.0947751477443492
"south","45-49","2",3.567117,0.108487875668155
"south","45-49","3",14.002602,0.425865634574548
"south","45-49","4",17.851057,0.542909933248937
"south","45-49","5",26.240933,0.798073928250849
"south","45-49","6",126.469873,3.84636889056102
"southwest","15-19","0",609.838094999999,18.547201963957
"southwest","15-19","1",63.629839,1.93519474192092
"southwest","15-19","2",7.090986,0.215660436013909
"southwest","15-19","3",0,0
"southwest","15-19","4",0,0
